id,x_coordinate,y_coordinate,total_capacity,total_Mips,BW,used_capacity,busy_until,executing_job_id
fdc_1,5806,1000,134217728,1000,16777216,0,0,
fdc_2,-11032,1000,536870912,4000,8388608,0,0,
fdc_3,9843,1000,268435456,2000,16777216,0,0,
fdc_4,-7989,1000,134217728,3000,16777216,0,0,
fdc_5,-5824,1000,268435456,1000,16777216,0,0,
fdc_6,10883,1000,268435456,5000,2097152,0,0,
fdc_7,-5690,1000,268435456,1000,16777216,0,0,
fdc_8,-1272,1000,268435456,4000,2097152,0,0,
fdc_9,408,1000,536870912,2000,4194304,0,0,
fdc_10,821,1000,134217728,4000,16777216,0,0,
fdc_11,759,1000,268435456,2000,33554432,0,0,
fdc_12,-10874,1000,536870912,5000,33554432,0,0,
fdc_13,10149,1000,536870912,4000,16777216,0,0,
fdc_14,-9169,1000,134217728,5000,16777216,0,0,
fdc_15,12045,1000,134217728,5000,8388608,0,0,
fdc_16,12195,1000,536870912,3000,33554432,0,0,
fdc_17,-2593,1000,268435456,5000,4194304,0,0,
fdc_18,4914,1000,134217728,3000,16777216,0,0,
fdc_19,6412,1000,134217728,1000,8388608,0,0,
fdc_20,10306,1000,536870912,4000,4194304,0,0,
fdc_21,3180,1000,268435456,1000,16777216,0,0,
fdc_22,-7933,1000,134217728,4000,4194304,0,0,
fdc_23,3199,1000,536870912,1000,4194304,0,0,
fdc_24,-7129,1000,134217728,3000,33554432,0,0,
fdc_25,3759,1000,134217728,3000,16777216,0,0,
fdc_26,11382,1000,536870912,3000,8388608,0,0,
fdc_27,4983,1000,536870912,1000,33554432,0,0,
fdc_28,-6890,1000,134217728,1000,16777216,0,0,
fdc_29,3960,1000,134217728,1000,2097152,0,0,
fdc_30,-1126,1000,134217728,2000,8388608,0,0,
fdc_31,7802,1000,134217728,2000,16777216,0,0,
fdc_32,-11634,1000,268435456,5000,4194304,0,0,
fdc_33,1811,1000,134217728,5000,2097152,0,0,
fdc_34,-7955,1000,134217728,2000,33554432,0,0,
fdc_35,5297,1000,268435456,5000,8388608,0,0,
fdc_36,9339,1000,536870912,3000,8388608,0,0,
fdc_37,-14769,1000,268435456,4000,33554432,0,0,
fdc_38,5600,1000,134217728,4000,2097152,0,0,
fdc_39,14423,1000,134217728,4000,4194304,0,0,
fdc_40,3067,1000,268435456,2000,16777216,0,0,
fdc_41,5043,1000,268435456,5000,2097152,0,0,
fdc_42,12056,1000,134217728,5000,8388608,0,0,
fdc_43,-11257,1000,536870912,2000,4194304,0,0,
fdc_44,-14764,1000,536870912,3000,4194304,0,0,
fdc_45,-8381,1000,134217728,4000,33554432,0,0,
fdc_46,4647,1000,536870912,2000,8388608,0,0,
fdc_47,-11091,1000,536870912,4000,8388608,0,0,
fdc_48,-4789,1000,134217728,1000,16777216,0,0,
fdc_49,-9329,1000,134217728,4000,8388608,0,0,
fdc_50,-7241,1000,134217728,3000,2097152,0,0,
fdc_51,3944,1000,536870912,2000,8388608,0,0,
fdc_52,8948,1000,536870912,1000,16777216,0,0,
fdc_53,-7153,1000,536870912,3000,8388608,0,0,
fdc_54,13740,1000,536870912,1000,4194304,0,0,
fdc_55,6873,1000,536870912,2000,8388608,0,0,
fdc_56,-13840,1000,536870912,1000,4194304,0,0,
fdc_57,3101,1000,268435456,5000,8388608,0,0,
fdc_58,-8973,1000,536870912,4000,33554432,0,0,
fdc_59,9916,1000,536870912,1000,4194304,0,0,
fdc_60,-7803,1000,536870912,3000,4194304,0,0,
fdc_61,5312,1000,134217728,3000,2097152,0,0,
fdc_62,-9777,1000,268435456,2000,33554432,0,0,
fdc_63,-14385,1000,134217728,4000,2097152,0,0,
fdc_64,-3886,1000,134217728,3000,4194304,0,0,
fdc_65,14098,1000,134217728,5000,16777216,0,0,
fdc_66,-12449,1000,536870912,4000,2097152,0,0,
fdc_67,-11337,1000,134217728,4000,2097152,0,0,
fdc_68,10242,1000,268435456,4000,16777216,0,0,
fdc_69,-8355,1000,134217728,5000,16777216,0,0,
fdc_70,1770,1000,268435456,4000,4194304,0,0,
fdc_71,-14614,1000,536870912,3000,8388608,0,0,
fdc_72,127,1000,536870912,5000,2097152,0,0,
fdc_73,-14448,1000,536870912,5000,16777216,0,0,
fdc_74,11232,1000,536870912,4000,8388608,0,0,
fdc_75,-7473,1000,268435456,4000,4194304,0,0,
fdc_76,-14121,1000,536870912,3000,4194304,0,0,
fdc_77,13555,1000,268435456,3000,33554432,0,0,
fdc_78,-2210,1000,268435456,1000,2097152,0,0,
fdc_79,9476,1000,268435456,5000,4194304,0,0,
fdc_80,-12996,1000,134217728,5000,33554432,0,0,
fdc_81,-5311,1000,134217728,3000,4194304,0,0,
fdc_82,-12458,1000,268435456,5000,4194304,0,0,
fdc_83,-12707,1000,268435456,3000,8388608,0,0,
fdc_84,8359,1000,268435456,5000,4194304,0,0,
fdc_85,5583,1000,134217728,2000,8388608,0,0,
fdc_86,-7439,1000,268435456,1000,8388608,0,0,
fdc_87,-618,1000,536870912,1000,2097152,0,0,
fdc_88,-1855,1000,268435456,2000,16777216,0,0,
fdc_89,-4235,1000,134217728,2000,2097152,0,0,
fdc_90,11435,1000,134217728,1000,8388608,0,0,
fdc_91,-3306,1000,536870912,2000,4194304,0,0,
fdc_92,13784,1000,134217728,4000,4194304,0,0,
fdc_93,14158,1000,134217728,4000,8388608,0,0,
fdc_94,-10160,1000,268435456,5000,16777216,0,0,
fdc_95,-12516,1000,268435456,5000,33554432,0,0,
fdc_96,2344,1000,536870912,5000,8388608,0,0,
fdc_97,2465,1000,134217728,3000,2097152,0,0,
fdc_98,9698,1000,268435456,3000,4194304,0,0,
fdc_99,-10506,1000,134217728,2000,2097152,0,0,
fdc_100,4534,1000,134217728,4000,16777216,0,0,
fdc_101,-11276,1000,134217728,2000,8388608,0,0,
fdc_102,-6644,1000,268435456,5000,8388608,0,0,
fdc_103,-9313,1000,134217728,5000,8388608,0,0,
fdc_104,7485,1000,268435456,5000,4194304,0,0,
fdc_105,55,1000,536870912,3000,16777216,0,0,
fdc_106,-5920,1000,268435456,5000,2097152,0,0,
fdc_107,-7358,1000,134217728,3000,4194304,0,0,
fdc_108,3821,1000,268435456,1000,33554432,0,0,
fdc_109,1182,1000,268435456,1000,16777216,0,0,
fdc_110,13032,1000,268435456,2000,33554432,0,0,
fdc_111,-5819,1000,134217728,2000,16777216,0,0,
fdc_112,5395,1000,268435456,2000,16777216,0,0,
fdc_113,-14298,1000,536870912,4000,16777216,0,0,
fdc_114,13621,1000,536870912,4000,16777216,0,0,
fdc_115,-5335,1000,536870912,4000,2097152,0,0,
fdc_116,-8766,1000,134217728,1000,16777216,0,0,
fdc_117,4536,1000,268435456,3000,8388608,0,0,
fdc_118,7206,1000,134217728,5000,4194304,0,0,
fdc_119,9916,1000,536870912,4000,8388608,0,0,
fdc_120,-11645,1000,268435456,5000,2097152,0,0,
fdc_121,4249,1000,134217728,1000,8388608,0,0,
fdc_122,5337,1000,536870912,2000,4194304,0,0,
fdc_123,-7943,1000,536870912,4000,2097152,0,0,
fdc_124,-2451,1000,536870912,3000,16777216,0,0,
fdc_125,5887,1000,536870912,1000,33554432,0,0,
fdc_126,-11063,1000,268435456,3000,4194304,0,0,
fdc_127,9341,1000,268435456,4000,2097152,0,0,
fdc_128,8603,1000,536870912,5000,8388608,0,0,
fdc_129,-2986,1000,134217728,2000,16777216,0,0,
fdc_130,3861,1000,536870912,5000,33554432,0,0,
fdc_131,9526,1000,536870912,5000,33554432,0,0,
fdc_132,-683,1000,536870912,4000,8388608,0,0,
fdc_133,-12870,1000,134217728,5000,4194304,0,0,
fdc_134,7829,1000,268435456,2000,2097152,0,0,
fdc_135,-2727,1000,268435456,4000,2097152,0,0,
fdc_136,9151,1000,134217728,4000,16777216,0,0,
fdc_137,10227,1000,134217728,5000,4194304,0,0,
fdc_138,-14656,1000,134217728,5000,4194304,0,0,
fdc_139,-6129,1000,268435456,4000,4194304,0,0,
fdc_140,170,1000,536870912,3000,4194304,0,0,
fdc_141,-12362,1000,134217728,5000,16777216,0,0,
fdc_142,-1421,1000,536870912,3000,16777216,0,0,
fdc_143,13864,1000,268435456,5000,33554432,0,0,
fdc_144,-14884,1000,134217728,2000,16777216,0,0,
fdc_145,3398,1000,536870912,3000,4194304,0,0,
fdc_146,-13136,1000,536870912,2000,2097152,0,0,
fdc_147,1369,1000,536870912,2000,8388608,0,0,
fdc_148,-7902,1000,268435456,4000,8388608,0,0,
fdc_149,5002,1000,536870912,5000,2097152,0,0,
